StartTime,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed
2013-12-17 00:18:23,1687.25,14135.33,12.32,547,8.38
2013-12-17 01:44:00,762.47,4814.72,9.88,203,6.31
2013-12-17 14:38:54,591.02,4746.09,12.56,204,8.03
2013-12-17 15:46:42,1700.2,14656.01,12.58,580,8.62
2013-12-17 23:55:23,1608.03,14142.38,12.3,577,8.79
2013-12-18 01:24:06,802.84,4816.0,9.62,216,6.0
2013-12-18 14:39:18,624.82,4719.71,11.58,179,7.55
2013-12-18 15:45:37,1594.85,14644.08,17.0,591,9.18
2013-12-19 00:15:06,1791.37,14101.56,13.02,511,7.87
2013-12-19 01:39:25,878.27,4848.88,10.07,180,5.52
2013-12-20 14:43:14,584.96,4738.29,12.76,217,8.1
2013-12-20 15:45:24,1675.85,14658.69,11.75,603,8.75
2013-12-21 00:19:48,1604.68,14156.28,12.59,609,8.82
2013-12-21 01:43:10,842.07,4822.41,9.34,227,5.73
2013-12-25 22:48:24,4914.11,12687.19,6.48,338,2.58
2013-12-27 22:44:42,1951.8,10517.86,10.72,567,5.39
2013-12-27 23:57:43,2386.36,14941.73,13.43,450,6.26
2013-12-28 21:52:17,5516.75,25004.5,10.16,889,4.53
